L100, D100
-0.000188775, -0.000170013
-6.33504e-05, -0.000245805
-0.000114072, -0.000227732
0.000412733, 0.000407343
-5.78196e-05, -0.000305961
-0.000385652, -6.44894e-05
-4.84388e-05, 6.13453e-05
-0.000226996, -9.70121e-06
4.29209e-06, -0.000282222
3.76948e-05, 0.000342267
1.0613e-05, -0.000285706
-0.000156004, 5.07913e-05
-0.000368513, 0.000144197
-3.9926e-05, 7.68273e-05
4.01875e-05, 0.000206287
-0.000336081, -7.98937e-05
-0.000236808, -0.000122069
-0.00101536, -0.000152668
-0.00019036, -5.74448e-05
-0.000222564, -4.45563e-05
-0.000254776, -0.00015269
-0.00017154, 5.61707e-05
-0.000950001, -0.00040186
-0.00102583, -0.000205146
-0.000546254, 0.000219943
4.03883e-06, -0.000221004
-3.77406e-05, 0.000405974
-0.000793824, -0.000161883
-0.000414597, -7.75547e-06
3.53606e-05, -0.000198628
-0.00100054, -7.86867e-05
-0.00096487, -0.000410944
-0.000165894, -0.000286878
-0.000107607, -0.000330344
-2.48873e-05, -0.000166005
-0.00106197, -3.06924e-05
-0.000970479, 0.000325566
-4.42772e-05, -0.000309781
-0.000150685, -0.000343155
-0.000118741, 5.39196e-05
-0.000105398, 9.90941e-05
-0.000202899, -2.10305e-05
-0.00013484, 3.89239e-06
3.09366e-05, 0.000289457
-0.000982267, -0.000362872
-0.000190061, 9.16398e-05
-4.27374e-05, 0.000131149
-1.30499e-05, -6.08662e-05
4.40671e-06, 2.82252e-06
-0.000423119, 7.757e-06
-0.00029332, 0.000188718
-0.000276373, 4.35971e-05
-0.000104053, -2.82308e-05
-0.000371831, 0.000183503
-0.000969057, 0.000196329
-6.52387e-05, 0.000214492
-0.000439974, 6.36996e-05
0.000178703, 0.000220903
1.00749e-05, -3.71272e-05
-2.05583e-05, -0.000333785
-4.5476e-05, -7.74364e-05
0.000286372, -2.95382e-05
-0.000111421, -4.40716e-05
-0.0010143, -0.00031977
5.34742e-06, 9.53021e-05
-0.000483234, -0.00014098
-0.000278069, 0.000133553
1.61824e-05, 0.000283174
-0.000323343, 0.000125408
8.53638e-06, 0.000351046
-0.00101464, -0.000157884
-0.000374833, -0.000132864
-0.000981006, -0.000311537
9.73631e-06, 0.000149082
-0.00101876, -6.93155e-06
-4.62597e-05, 0.000168797
-0.000287095, 0.000133451
0.000305493, 4.89525e-05
-1.86746e-05, 4.95434e-05
-0.000330431, -0.000136218
-8.1986e-05, 0.000175651
-0.000101835, -0.000336653
-0.000105771, 0.000178957
-0.000914158, 0.000456339
-0.000277388, 0.000119362
-0.000107952, -2.82121e-05
-0.000313195, -0.000158117
-0.00090383, -0.000375372
-6.56545e-05, 4.88991e-05
6.81668e-05, 0.000606423
-1.08716e-05, -3.34018e-05
-4.35518e-05, -6.54224e-05
-0.0010183, -0.000170688
-7.35562e-05, -0.000105873
1.08397e-05, -3.80135e-05
0.000184401, -0.000229376
-0.000175182, 0.000157138
-1.00105e-07, -7.49729e-05
-4.54835e-05, 4.45473e-06
-7.05858e-06, 0.000111624
-5.98568e-05, -0.000109976
-0.00041709, -0.00016431
0.000175391, 0.000275173
-0.000172805, -1.5477e-05
0.000164704, 0.000396792
-0.000998027, 8.14675e-05
0.000142578, -0.000276054
-0.000307644, 0.000149558
-0.000927226, -0.000386086
-0.000353372, 0.0001067
-0.000897891, -0.000135914
-6.55023e-05, -1.62573e-05
-0.000968144, -2.52312e-05
-0.00100509, -0.000348745
-0.000280898, -4.69083e-05
-0.000921901, 0.000195934
-0.000950774, 0.000279785
-0.000360435, -0.000149717
-7.596e-05, 3.12875e-05
-0.000129987, -1.83772e-05
0.000135397, -0.000150931
2.75779e-05, -0.000271687
-0.00103776, -0.00017959
-0.000306628, -5.03909e-05
-0.000364363, 5.76246e-05
-0.000109967, -9.18666e-05
-0.000276375, 4.16493e-05
-4.18745e-06, 0.000138646
0.000110247, 0.000158511
-0.000380003, 7.6161e-05
-0.000411841, 6.59464e-05
-4.04617e-05, 0.000203536
-8.84576e-05, -0.000348504
-0.000899762, -9.03423e-05
-0.000652005, -0.00034456
-0.000163121, 0.000220639
-0.000158167, 3.69721e-05
-0.000134285, -3.18975e-05
-8.08562e-05, 7.37482e-05
-0.000225667, 2.29379e-06
-4.77983e-06, -8.56094e-05
-0.000932997, -0.000270946
-0.000170664, -8.75061e-05
-0.000574946, 9.29372e-05
-0.000928813, -2.22305e-05
-0.000106832, 0.000169634
-0.00099447, 4.56111e-05
-0.00010936, -3.97718e-05
-0.000194417, -9.20703e-06
-0.000205824, -5.34644e-05
-0.000303563, -0.00014559
-9.4525e-05, -5.31148e-05
-0.00028301, 5.43915e-05
-0.000196917, -0.00028158
-0.000934346, -0.000145833
-0.000109999, 7.69471e-05
-0.00056628, -0.000117436
-0.000183747, -8.23151e-07
-0.000344024, -0.000144222
-0.000104166, 6.84835e-05
1.17326e-06, 0.000173045
-0.00101234, 6.94624e-05
-0.000244607, -0.000108988
-0.000951099, 0.000139335
-8.68041e-05, 0.000174231
-0.00101807, -0.000260036
-0.00103456, 0.000225795
-7.55052e-05, 0.000132527
-0.000914755, -0.000301914
-0.000119436, 6.92291e-05
-0.000429374, 4.73849e-05
-5.9469e-05, -0.000193417
1.79898e-05, -0.000252758
-0.000768416, -0.000172434
-0.000510162, 0.000360902
-6.98685e-05, -0.000112311
-6.96918e-05, 5.21883e-05
-0.000292204, -8.04339e-05
-2.16965e-05, -0.000351863
-0.00102609, -9.49127e-05
4.67154e-05, -0.000313194
-0.000380786, -8.55689e-05
-4.47506e-05, -0.000310165
-5.9587e-05, 5.29556e-05
